民意代表姓名,民意代表親屬姓名,與民代間之親屬關係,資料來源
蔡培慧,N/A,配偶,https://drive.google.com/open?id=1nyzi0G2IdJ-YgkmdZHeYNkAk99ZebH0N
蔡其昌,黃玉廷,配偶,https://drive.google.com/open?id=1tf1pvHrWDKfDIqz3UU5y3dwYI6ZNM0rT
蔡其昌,詹益川,外祖父,https://zh.wikipedia.org/wiki/%E8%A9%B9%E5%86%B0
蔡適應,蔡喬婷,配偶,https://drive.google.com/open?id=11ngmY6WUmrbgVMzgsgUe3Z-eCD2J9YuF
蔡易餘,蔡仁,曾祖父,http://news.ltn.com.tw/news/politics/paper/549877
蔡易餘,蔡啟芳,父親,http://news.ltn.com.tw/news/politics/paper/549877
蔡易餘,N/A,配偶,https://drive.google.com/open?id=1MdSK78uNxx0URPGU1wNyvhdDElY1q-zA
蔡易餘,蔡長銘,祖父,http://news.ltn.com.tw/news/politics/paper/549877
曾銘宗,江淑惠,表妹,http://cdnews.com.tw/cdnews_site/docDetail.jsp?coluid=112&docid=103060249
曾銘宗,呂錦玲,配偶,https://drive.google.com/open?id=1B6mQ4mJ8FdBoQb8ZPFcS0T30IgR-zcYn
陳超明,陳錫坤,父親,http://news.ltn.com.tw/news/local/paper/937403
陳超明,吳麗利,配偶,https://drive.google.com/file/d/1HP3HmqcjqDYizAky_J_umrLG7XBbgDq1/view?usp=sharing
陳錦祥,陳勁輔,兒子,http://news.ltn.com.tw/news/local/paper/828692
陳錦祥,陳曾悅子,母親,http://news.ltn.com.tw/news/local/paper/443756
陳賴素美,陳奕瑄,配偶,https://drive.google.com/open?id=1q3cr44Igl7tqf40OMKNJYzS-yJ2pE2_k
陳曼麗,N/A,配偶,https://drive.google.com/file/d/1N8QxgdjrxLGd-Jm5nQjeevRFF9Lq_gNd/view?usp=sharing
陳明文,陳福三,父親,http://news.ltn.com.tw/news/politics/breakingnews/1998910
陳明文,陳林蓮枝,母親,http://news.ltn.com.tw/news/politics/breakingnews/1998910
陳明文,陳明仁,哥哥,http://news.ltn.com.tw/news/politics/paper/13282
陳明文,廖素慧,配偶,https://drive.google.com/file/d/1iDUlEKmc_CeLVyNsHW5oyyvN1nOigloD/view?usp=sharing
陳明文,陳怡岳,外甥,http://www.chinatimes.com/realtimenews/20170817005392-260407
陳歐珀,徐慧諭,配偶,https://drive.google.com/file/d/1OcoJJusyGysKq3LrfZshiu8ODZYeVthK/view?usp=sharing
陳其邁,陳哲男,父親,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%85%B6%E9%82%81
陳其邁,陳其堯,哥哥,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%85%B6%E9%82%81
陳其邁,陳書芸,妹妹,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%85%B6%E9%82%81
陳其邁,吳虹,配偶,https://drive.google.com/file/d/1T-E0QZTjpN166GSQznG2goeh-Tngzp2-/view?usp=sharing
陳素月,N/A,配偶,https://drive.google.com/file/d/1VYOhZq4UjnT8W3x91SvYGCNp-06etmbi/view?usp=sharing
陳亭妃,陳佳照,父親,https://zh.wikipedia.org/wiki/%E9%99%B3%E4%BA%AD%E5%A6%83#cite_note-4
陳亭妃,陳怡珍,妹妹,https://zh.wikipedia.org/wiki/%E9%99%B3%E4%BA%AD%E5%A6%83#cite_note-4
陳亭妃,陳黃秀,母親,https://zh.wikipedia.org/wiki/%E9%99%B3%E4%BA%AD%E5%A6%83#cite_note-4
陳亭妃,N/A,配偶,https://drive.google.com/file/d/1ZdqB6bG-3N0jvnryW-8wu8ZzkElygyoK/view?usp=sharing
陳學聖,梁寒衣,配偶,https://drive.google.com/open?id=11miQyB6j4jfhhLl1WKOAs4PFP_J_5Wox
陳雪生,陳秀蘭,配偶,https://drive.google.com/file/d/1iE1clHsmNa_Qm6lVcVos0gdXKmUKrqMF/view?usp=sharing
陳宜民,陳皆興,伯公,http://www.peoplenews.tw/news/f2f0399e-2bec-492a-b9f9-2f566ad334d1
陳宜民,陳寶輝,父親,http://www.peoplenews.tw/news/f2f0399e-2bec-492a-b9f9-2f566ad334d1
陳宜民,N/A,配偶,https://drive.google.com/file/d/1L6CZBwzmk5HdgQ6CambEyxD7dq-H7GsQ/view?usp=sharing
陳怡潔,陳政忠,父親,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%80%A1%E6%BD%94
陳怡潔,N/A,配偶,https://drive.google.com/open?id=1s9LEfMfppBzgq7AW3OqYU8-MTyGyJKmB
陳瑩,陳建年,父親,http://www.nextmag.com.tw/realtimenews/news/36827603
陳瑩,N/A,配偶,https://drive.google.com/file/d/1SHsDj1Hr8wTVBzeop5Myp4BG-VxRWGk6/view?usp=sharing
陳瑩,陳冠年,伯父,http://www.nextmag.com.tw/realtimenews/news/36827603
陳瑩,陳耕元,祖父,http://www.nextmag.com.tw/realtimenews/news/36827603
段宜康,段守愚,父親,https://zh.wikipedia.org/wiki/%E6%AE%B5%E5%AE%9C%E5%BA%B7
段宜康,陳麗雯,配偶,https://drive.google.com/file/d/1Nh5OyQm6VkfKmvv_naGdWPgLS_h97eEq/view?usp=sharing
費鴻泰,費鴻波,哥哥,https://zh.wikipedia.org/wiki/%E8%B2%BB%E9%B4%BB%E6%B3%B0
費鴻泰,王怡心,配偶,https://drive.google.com/open?id=1bWHxbKvNSu83RkdJtnWNnIq-5l5ljzJa
費鴻泰,費鴻鈞,堂弟,https://zh.wikipedia.org/wiki/%E8%B2%BB%E9%B4%BB%E6%B3%B0
費鴻泰,費聿鋒,姪子,https://zh.wikipedia.org/wiki/%E8%B2%BB%E9%B4%BB%E6%B3%B0
高金素梅,金德培,父親,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%87%91%E7%B4%A0%E6%A2%85
高金素梅,高香妹,母親,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%87%91%E7%B4%A0%E6%A2%85
高金素梅,N/A,配偶,https://drive.google.com/file/d/1TWNuJCmUF8OF87bqxjPry6XMEJsET3B5/view?usp=sharing
高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,以莉·高露,表姐,https://tw.appledaily.com/new/realtime/20151029/721346/
高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,N/A,配偶,https://drive.google.com/file/d/1hJ4vYum5uLKVwzo3eHoxwgQAE6o7hcBw/view?usp=sharing
高志鵬,N/A,配偶,https://drive.google.com/file/d/1Jbj3u-APqPE63tNrC8fXOcakgrrdM1Gt/view?usp=sharing
谷辣斯．尤達卡Kolas．Yotaka,N/A,配偶,https://drive.google.com/file/d/1AJQyu5JLC4QklG7mrH2B301G_sH8BF0U/view?usp=sharing
顧立雄,王美花,配偶,https://drive.google.com/open?id=1NpTq2m3uwKsJL6qzM_4SpGBDzz1Wj1wS
管碧玲,許陽明,配偶,https://drive.google.com/open?id=1O49KhXumhc3gasreD3RypLTcn1iIoV4T
郭正亮,文馨瑩,配偶,https://drive.google.com/file/d/1P_chywgzvXyJ7ERQ5dINc0bNZs8QuLOf/view?usp=sharing
何欣純,林淑滿,母親,http://topic.cw.com.tw/2015politicaldynasty/img/graph/4.png
何欣純,謝俊雄,配偶,https://drive.google.com/open?id=1AAsJc6bM7mO2ukcRKFvZxHsHXI-0-ur3
何欣純,林昶佐,表弟,https://zh.wikipedia.org/wiki/%E4%BD%95%E6%AC%A3%E7%B4%94
洪慈庸,洪仲丘,弟弟,http://news.ltn.com.tw/news/society/breakingnews/1228616
洪慈庸,洪吉端,父親,http://news.ltn.com.tw/news/society/breakingnews/1228616
洪慈庸,胡世和,舅舅,http://news.ltn.com.tw/news/society/breakingnews/1228616
洪慈庸,胡素真,母親,http://news.ltn.com.tw/news/society/breakingnews/1228616
洪慈庸,卓冠廷,配偶,https://drive.google.com/file/d/1-HoxhO72HGXtBSl6ir29jV5isdTqYmuk/view?usp=sharing
洪慈庸,卓建國,岳父,https://zh.wikipedia.org/wiki/%E5%8D%93%E5%86%A0%E5%BB%B7
洪慈庸,蘇麗雪,岳母,https://zh.wikipedia.org/wiki/%E5%8D%93%E5%86%A0%E5%BB%B7
洪宗熠,邱于真,配偶,https://drive.google.com/file/d/1eQe6b5_tk2KHXO2Ve82JLsB6xcpQT9wv/view?usp=sharing
黃國昌,高翔,配偶,https://drive.google.com/open?id=114SJgHIto6XgrbYeRtciIJibW5t67MXc
黃國書,林君俐,配偶,https://drive.google.com/open?id=1hEL8QAjOrSgwtsBXhir9PDcRLcy1dwPc
黃偉哲,蘇紫雲,弟弟,http://www.storm.mg/article/399831
黃偉哲,黃智賢,妹妹,http://www.storm.mg/article/399831
黃偉哲,劉育菁,配偶,https://drive.google.com/file/d/1175n39Lc1qzKZxlroKY9XPk-hKRKz_R2/view?usp=sharing
黃偉哲,黃重諺,堂弟,http://www.storm.mg/article/399831
黃秀芳,鄧堯銓,配偶,https://drive.google.com/file/d/1W9aYHbmoZjLeoAUAhItM86uyp0Bv4kFM/view?usp=sharing
黃昭順,黃禎淦,弟弟,http://www.crntt.tw/crn-webapp/doc/docDetailCreate.jsp?coluid=93&kindid=2910&docid=101434286&mdate=0902123058
黃昭順,黃尊秋,父親,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%98%AD%E9%A0%86
黃昭順,黃禎祥,哥哥,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%98%AD%E9%A0%86
黃昭順,黃禎憲,哥哥,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%98%AD%E9%A0%86
黃昭順,黃淑媛,妹妹,http://www.crntt.tw/crn-webapp/doc/docDetailCreate.jsp?coluid=93&kindid=2910&docid=101434286&mdate=0902123058
黃昭順,陳菁徽,女兒,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%98%AD%E9%A0%86
黃昭順,王崇儀,配偶,https://drive.google.com/open?id=1wmnSMhvj_bcgqlY91wY610AXvwBPDNMd
黃昭順,陳雲龍,前配偶,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%98%AD%E9%A0%86
簡東明Uliw．Qaljupayare,戴錦花,配偶,https://drive.google.com/open?id=1C8VmvbcQw5k_wAc8uFSCOy_emZRxUxnW
江啟臣,劉姿伶,配偶,https://drive.google.com/open?id=1WNfFMG5e8Coo0xzBLPALUGk-3opwnS3q
江啟臣,劉哲彰,妻舅,https://zh.wikipedia.org/wiki/%E6%B1%9F%E5%95%9F%E8%87%A3
